rms,spectral_centroid,zero_crossing_rate,label
0.4353,2289.5051,0.1171,1
0.3315,1966.802,0.0865,0
0.351,2217.4724,0.0979,1
0.3384,1496.2537,0.0848,0
0.3353,1654.7015,0.0683,0
0.2518,1785.8705,0.0757,0
0.2809,1780.8382,0.0706,0
0.2595,1700.044,0.0867,0
0.2823,1851.9719,0.048,0
0.3899,2162.9476,0.156,1
0.3524,1890.4936,0.1283,0
0.2467,1722.161,0.0911,0
0.3092,1871.0253,0.0949,0
